nounsAllCount,nounsAllIndex
{'일월': 2014},{'일월': 172}
{'상담': 2011},{'상담': 173}
{'잠깐': 2004},{'잠깐': 174}
{'오후': 1997},{'오후': 175}
{'여덟': 1994},{'여덟': 176}
{'방법': 1989},{'방법': 177}
{'이구': 1977},{'이구': 178}
{'증정': 1973},{'증정': 179}
{'시구': 1971},{'시구': 180}
{'공이': 1963},{'공이': 181}
{'코엑스': 1962},{'코엑스': 182}
{'케이': 1952},{'케이': 183}
{'티켓': 1932},{'티켓': 184}
{'선택': 1907},{'선택': 185}
{'어제': 1855},{'어제': 186}
{'마이': 1840},{'마이': 187}
{'신고': 1839},{'신고': 188}
{'연결': 1830},{'연결': 189}
{'원래': 1828},{'원래': 190}
{'문제': 1819},{'문제': 191}
{'수령': 1815},{'수령': 192}
{'항공': 1721},{'항공': 193}
{'예정': 1719},{'예정': 194}
{'상관': 1711},{'상관': 195}
{'전체': 1665},{'전체': 196}
{'구입': 1663},{'구입': 197}
{'화장품': 1660},{'화장품': 198}
{'시점': 1622},{'시점': 199}
{'위해': 1613},{'위해': 200}
{'이번': 1610},{'이번': 201}
{'그대로': 1609},{'그대로': 202}
{'해주시': 1606},{'해주시': 203}
{'이천': 1600},{'이천': 204}
{'모바일': 1590},{'모바일': 205}
{'전화번호': 1584},{'전화번호': 206}
{'주소': 1583},{'주소': 207}
{'여행': 1534},{'여행': 208}
{'통화': 1529},{'통화': 209}
{'메일': 1527},{'메일': 210}
{'에이치': 1507},{'에이치': 211}
{'페이지': 1503},{'페이지': 212}
{'인증': 1492},{'인증': 213}
{'제이': 1482},{'제이': 214}
{'행사': 1472},{'행사': 215}
{'프로': 1464},{'프로': 216}
{'저녁': 1445},{'저녁': 217}
{'항공사': 1443},{'항공사': 218}
{'삼십분': 1425},{'삼십분': 219}
{'자체': 1407},{'자체': 220}
{'잘못': 1403},{'잘못': 221}
{'홈페이지': 1390},{'홈페이지': 222}
{'수고': 1379},{'수고': 223}
{'플러스': 1379},{'플러스': 224}
{'계정': 1378},{'계정': 225}
{'이메일': 1375},{'이메일': 226}
{'얘기': 1364},{'얘기': 227}
{'골드': 1335},{'골드': 228}
{'얼마': 1331},{'얼마': 229}
{'추가': 1325},{'추가': 230}
{'코드': 1322},{'코드': 231}
{'숫자': 1317},{'숫자': 232}
{'그것': 1317},{'그것': 233}
{'체크': 1309},{'체크': 234}
{'사이트': 1304},{'사이트': 235}
{'찾기': 1287},{'찾기': 236}
{'가방': 1280},{'가방': 237}
{'달라': 1269},{'달라': 238}
{'자리': 1267},{'자리': 239}
{'십일월': 1262},{'십일월': 240}
{'당일': 1260},{'당일': 241}
{'피씨': 1260},{'피씨': 242}
{'시작': 1257},{'시작': 243}
{'이후': 1243},{'이후': 244}
{'동의': 1237},{'동의': 245}
{'검색': 1226},{'검색': 246}
{'보통': 1213},{'보통': 247}
{'수신': 1207},{'수신': 248}
{'발급': 1193},{'발급': 249}
{'사진': 1176},{'사진': 250}
{'두건': 1164},{'두건': 251}
{'삭제': 1160},{'삭제': 252}
{'이기': 1152},{'이기': 253}
{'제외': 1151},{'제외': 254}
{'삼십': 1150},{'삼십': 255}
{'제트': 1143},{'제트': 256}
{'음음': 1141},{'음음': 257}
{'처음': 1140},{'처음': 258}
{'여러': 1126},{'여러': 259}
{'남아': 1103},{'남아': 260}
{'따라서': 1094},{'따라서': 261}
{'클릭': 1094},{'클릭': 262}
{'카카오': 1089},{'카카오': 263}
{'판매': 1088},{'판매': 264}
{'나머지': 1079},{'나머지': 265}
{'장바구니': 1075},{'장바구니': 266}
{'아침': 1064},{'아침': 267}
{'백화점': 1062},{'백화점': 268}
{'해외': 1050},{'해외': 269}
{'직원': 1044},{'직원': 270}
{'수정': 1042},{'수정': 271}
{'일반': 1041},{'일반': 272}
{'복구': 1039},{'복구': 273}
{'정상': 1030},{'정상': 274}
{'페이': 1024},{'페이': 275}
{'미리': 1024},{'미리': 276}
{'반입': 1023},{'반입': 277}
{'운영': 1022},{'운영': 278}
{'데스크': 1018},{'데스크': 279}
{'다운': 1006},{'다운': 280}
{'기본': 1005},{'기본': 281}
{'자동': 996},{'자동': 282}
{'경유': 987},{'경유': 283}
{'탈퇴': 987},{'탈퇴': 284}
{'서울': 982},{'서울': 285}
{'일곱': 975},{'일곱': 286}
{'관련': 973},{'관련': 287}
{'오일': 970},{'오일': 288}
{'품절': 967},{'품절': 289}
{'물어': 962},{'물어': 290}
{'메모': 956},{'메모': 291}
{'사항': 956},{'사항': 292}
{'건데': 950},{'건데': 293}
{'영업일': 946},{'영업일': 294}
{'왜냐면': 940},{'왜냐면': 295}
{'모두': 927},{'모두': 296}
{'삼이': 922},{'삼이': 297}
{'한도': 920},{'한도': 298}
{'시오': 918},{'시오': 299}
{'최대': 917},{'최대': 300}
{'열시': 914},{'열시': 301}
{'삼일': 907},{'삼일': 302}
{'해도': 901},{'해도': 303}
{'십분': 900},{'십분': 304}
{'달러': 892},{'달러': 305}
{'담배': 883},{'담배': 306}
{'중복': 880},{'중복': 307}
{'사이즈': 875},{'사이즈': 308}
