nounsAllCount,nounsAllIndex
"('고객', 31101)","('고객', 1)"
"('확인', 16672)","('확인', 2)"
"('지금', 12642)","('지금', 3)"
"('저희', 10261)","('저희', 4)"
"('번호', 8985)","('번호', 5)"
"('취소', 8624)","('취소', 6)"
"('여권', 7591)","('여권', 7)"
"('말씀', 6857)","('말씀', 8)"
"('이제', 6732)","('이제', 9)"
"('주문', 6641)","('주문', 10)"
"('출국', 5921)","('출국', 11)"
"('상품', 5845)","('상품', 12)"
"('혹시', 5557)","('혹시', 13)"
"('잠시', 5323)","('잠시', 14)"
"('구매', 5237)","('구매', 15)"
"('변경', 5092)","('변경', 16)"
"('아이디', 4918)","('아이디', 17)"
"('한번', 4447)","('한번', 18)"
"('정보', 4254)","('정보', 19)"
"('등록', 4104)","('등록', 20)"
"('드릴', 3886)","('드릴', 21)"
"('회원', 3799)","('회원', 22)"
"('다시', 3778)","('다시', 23)"
"('결제', 3666)","('결제', 24)"
"('카드', 3628)","('카드', 25)"
"('시간', 3578)","('시간', 26)"
"('그거', 3478)","('그거', 27)"
"('포인트', 3443)","('포인트', 28)"
"('본인', 3435)","('본인', 29)"
"('매장', 3415)","('매장', 30)"
"('가지', 3363)","('가지', 31)"
"('사용', 3310)","('사용', 32)"
"('전화', 3261)","('전화', 33)"
"('하루', 3255)","('하루', 34)"
"('때문', 3205)","('때문', 35)"
"('경우', 2819)","('경우', 36)"
"('부분', 2736)","('부분', 37)"
"('하나', 2721)","('하나', 38)"
"('인도', 2718)","('인도', 39)"
"('성함', 2388)","('성함', 40)"
"('바로', 2305)","('바로', 41)"
"('그게', 2301)","('그게', 42)"
"('진행', 2252)","('진행', 43)"
"('일단', 2247)","('일단', 44)"
"('안내', 2202)","('안내', 45)"
"('거기', 2194)","('거기', 46)"
"('이용', 2191)","('이용', 47)"
"('무엇', 2169)","('무엇', 48)"
"('적립금', 2167)","('적립금', 49)"
"('아예', 2161)","('아예', 50)"
"('오늘', 2122)","('오늘', 51)"
"('문의', 2095)","('문의', 52)"
"('그냥', 2060)","('그냥', 53)"
"('로그인', 2045)","('로그인', 54)"
"('부탁', 2039)","('부탁', 55)"
"('쿠폰', 2025)","('쿠폰', 56)"
"('십이월', 2010)","('십이월', 57)"
"('금액', 1997)","('금액', 58)"
"('다른', 1927)","('다른', 59)"
"('제품', 1918)","('제품', 60)"
"('건가', 1807)","('건가', 61)"
"('오프라인', 1804)","('오프라인', 62)"
"('연락', 1770)","('연락', 63)"
"('교환', 1769)","('교환', 64)"
"('공항', 1734)","('공항', 65)"
"('문자', 1725)","('문자', 66)"
"('다음', 1690)","('다음', 67)"
"('만약', 1686)","('만약', 68)"
"('러시', 1680)","('러시', 69)"
"('문건', 1659)","('문건', 70)"
"('브랜드', 1632)","('브랜드', 71)"
"('입력', 1619)","('입력', 72)"
"('선불카드', 1549)","('선불카드', 73)"
"('조회', 1534)","('조회', 74)"
"('주시', 1532)","('주시', 75)"
"('가입', 1505)","('가입', 76)"
"('여기', 1490)","('여기', 77)"
"('가요', 1482)","('가요', 78)"
"('물건', 1432)","('물건', 79)"
"('생년', 1432)","('생년', 80)"
"('우선', 1431)","('우선', 81)"
"('일정', 1429)","('일정', 82)"
"('먼저', 1424)","('먼저', 83)"
